datetime,open,high,low,close,volume
2018-10-08 00:00:00,224.83,231.1,222.25,227.68,52494.74130557
2018-10-09 00:00:00,227.71,228.45,225.06,226.15,41885.89404604
2018-10-10 00:00:00,226.14,226.25,221.52,223.61,56636.2682239
2018-10-11 00:00:00,223.61,223.61,184.81,188.32,316654.3133909
2018-10-12 00:00:00,188.32,198.5,187.15,194.1,94955.90937595
2018-10-13 00:00:00,194.01,198.37,193.45,196.72,39709.49692781
2018-10-14 00:00:00,196.72,199.41,189.13,191.87,50132.32545292
2018-10-15 00:00:00,192.05,220.64,189.96,204.53,222616.17410508
2018-10-16 00:00:00,204.55,207.97,202.1,205.43,56530.71462819
2018-10-17 00:00:00,205.43,206.35,201.2,203.21,65015.90657877
2018-10-18 00:00:00,203.21,205.56,195.15,199.2,102830.17997033
2018-10-19 00:00:00,199.1,201.47,197.8,200.0,49760.17159262
2018-10-20 00:00:00,200.0,204.66,199.31,202.69,73297.71204662
2018-10-21 00:00:00,202.69,205.66,201.19,202.12,34115.86267097
2018-10-22 00:00:00,202.12,203.0,198.75,201.25,46179.42865075
2018-10-23 00:00:00,201.25,201.96,197.96,201.12,41922.86883239
2018-10-24 00:00:00,201.12,202.47,200.38,200.68,40013.43593106
2018-10-25 00:00:00,200.68,200.72,195.83,199.65,69962.93507866
2018-10-26 00:00:00,199.66,204.35,198.64,200.7,48108.36095811
2018-10-27 00:00:00,200.71,201.7,200.42,201.46,21675.18980369
2018-10-28 00:00:00,201.46,202.85,201.0,202.43,21354.21586505
2018-10-29 00:00:00,202.44,202.65,190.92,194.31,78724.65664721
2018-10-30 00:00:00,194.29,196.41,192.6,195.35,57625.06380685
2018-10-31 00:00:00,195.36,200.0,191.4,196.95,56547.60918898
2018-11-01 00:00:00,196.95,198.63,196.2,197.96,35742.82382362
2018-11-02 00:00:00,197.96,201.75,197.8,199.75,45642.51794534
2018-11-03 00:00:00,199.75,200.0,197.51,198.35,27311.98346683
2018-11-04 00:00:00,198.46,217.77,198.1,210.06,99918.45884
2018-11-05 00:00:00,210.06,211.2,205.38,208.53,57325.49179142
2018-11-06 00:00:00,208.53,219.08,207.13,218.65,112409.82321353
2018-11-07 00:00:00,218.66,222.78,215.56,216.84,69736.02015595
2018-11-08 00:00:00,216.85,218.27,209.66,210.34,57923.00913792
2018-11-09 00:00:00,210.35,212.2,206.2,208.01,38594.06994426
2018-11-10 00:00:00,208.01,212.78,207.69,210.29,30237.75116139
2018-11-11 00:00:00,210.28,211.17,206.15,209.88,21445.01984029
2018-11-12 00:00:00,209.72,211.22,207.0,208.77,40880.42280294
2018-11-13 00:00:00,208.77,208.77,202.76,203.2,62704.03543844
2018-11-14 00:00:00,203.2,204.9,165.2,177.79,336823.61672987
2018-11-15 00:00:00,177.76,181.0,165.33,178.89,236756.41840392
2018-11-16 00:00:00,178.89,179.76,169.22,172.4,120624.58161092
2018-11-17 00:00:00,172.4,174.41,170.34,172.49,59323.10686193
2018-11-18 00:00:00,172.49,180.21,172.15,175.87,68496.26937723
2018-11-19 00:00:00,175.9,175.92,142.0,145.21,437034.79384885
2018-11-20 00:00:00,145.22,149.5,121.5,127.55,769531.16269751
2018-11-21 00:00:00,127.56,138.48,122.65,134.73,349956.46745766
2018-11-22 00:00:00,134.75,136.71,122.54,123.25,146571.74543072
2018-11-23 00:00:00,123.3,125.15,116.24,121.44,270783.54268914
2018-11-24 00:00:00,121.44,125.89,106.15,110.16,216618.50007219
2018-11-25 00:00:00,110.22,118.83,98.2,114.3,456787.11594616
2018-11-26 00:00:00,114.29,116.88,102.26,106.95,323797.00414135
2018-11-27 00:00:00,106.84,111.6,99.26,108.7,260914.59485603
2018-11-28 00:00:00,108.74,126.46,108.74,121.94,336446.6517417
2018-11-29 00:00:00,121.95,123.05,113.0,116.38,208250.88102992
2018-11-30 00:00:00,116.38,119.0,109.24,111.65,132379.95197781
2018-12-01 00:00:00,111.7,119.77,110.0,116.82,123338.64180085
2018-12-02 00:00:00,116.82,119.45,114.05,114.76,76262.88012718
2018-12-03 00:00:00,114.76,115.12,104.74,107.21,141150.72465588
2018-12-04 00:00:00,107.21,112.0,104.78,108.61,114117.39538312
2018-12-05 00:00:00,108.61,109.37,99.5,100.76,181819.43919535
2018-12-06 00:00:00,100.75,102.85,88.92,89.09,347693.32282974
2018-12-07 00:00:00,89.1,97.16,81.02,92.45,561764.88745187
2018-12-08 00:00:00,92.46,97.52,84.0,89.99,252970.51521697
2018-12-09 00:00:00,89.99,98.3,88.15,92.79,190909.13208633
2018-12-10 00:00:00,92.8,94.62,87.3,89.23,138872.09717663
2018-12-11 00:00:00,89.23,91.21,85.15,86.96,128274.4301784
2018-12-12 00:00:00,86.96,91.0,86.06,89.09,117430.49906082
2018-12-13 00:00:00,89.02,90.25,83.48,85.35,146120.43656492
2018-12-14 00:00:00,85.35,85.98,80.6,83.0,158096.10199817
2018-12-15 00:00:00,83.0,84.29,80.89,83.03,111703.11480954
2018-12-16 00:00:00,82.92,86.82,82.82,83.74,95638.40836968
2018-12-17 00:00:00,83.74,96.74,83.51,93.79,266398.71355486
2018-12-18 00:00:00,93.8,101.5,91.55,101.0,200102.85759057
2018-12-19 00:00:00,101.0,107.88,98.16,99.34,358540.81469224
2018-12-20 00:00:00,99.39,119.0,98.5,114.52,336677.57243746
2018-12-21 00:00:00,114.52,120.0,105.3,107.74,250746.79953019
2018-12-22 00:00:00,107.74,116.3,105.5,116.09,122011.29825044
2018-12-23 00:00:00,116.1,133.0,116.01,129.61,332666.35600676
2018-12-24 00:00:00,129.61,159.51,129.53,139.09,618285.82327341
2018-12-25 00:00:00,139.02,140.26,122.15,128.82,369771.52426131
2018-12-26 00:00:00,128.83,136.72,123.54,130.47,208096.40093351
2018-12-27 00:00:00,130.47,131.78,112.26,114.63,283102.63676172
2018-12-28 00:00:00,114.53,138.58,113.31,136.82,332662.38220525
2018-12-29 00:00:00,136.81,147.3,131.72,134.15,261566.1373545
2018-12-30 00:00:00,134.36,140.64,128.3,138.78,214924.88535576
2018-12-31 00:00:00,138.83,138.9,128.5,130.53,171863.09302169
2019-01-01 00:00:00,130.66,140.9,129.55,139.75,157652.41008451
2019-01-02 00:00:00,139.76,156.69,138.75,153.5,238326.55103927
2019-01-03 00:00:00,153.5,154.44,144.49,147.23,197122.58599257
2019-01-04 00:00:00,147.23,155.51,145.14,153.24,220512.57070221
2019-01-05 00:00:00,153.24,160.62,152.5,154.21,213686.16276661
2019-01-06 00:00:00,154.21,159.58,148.5,155.92,173438.86219927
2019-01-07 00:00:00,155.91,157.15,148.59,150.62,145179.87148568
2019-01-08 00:00:00,150.57,152.9,146.71,148.97,123724.63399899
2019-01-09 00:00:00,149.1,152.88,148.36,149.5,94953.11101914
2019-01-10 00:00:00,149.49,150.9,122.15,126.41,346632.61968851
2019-01-11 00:00:00,126.42,128.84,121.74,125.83,161522.39856758
2019-01-12 00:00:00,125.83,127.28,123.4,124.59,88962.93998702
2019-01-13 00:00:00,124.57,125.21,113.5,115.58,145212.54789435
2019-01-14 00:00:00,115.61,132.38,115.34,128.37,203574.72632038
2019-01-15 00:00:00,128.36,130.61,116.91,120.0,201834.22366877
2019-01-16 00:00:00,120.01,127.6,119.0,122.12,148908.69096552
2019-01-17 00:00:00,122.19,123.83,117.12,122.55,117990.75819607
